REGION,TECHNOLOGY,VALUE
GLOBAL,PWRWASLUXXX01,31.536
GLOBAL,PWRWOFLUXXX01,31.536
GLOBAL,PWRWAVLUXXX01,31.536
GLOBAL,PWRPETLUXXX01,31.536
GLOBAL,PWRGEOLUXXX01,31.536
GLOBAL,PWRCOGLUXXX01,31.536
GLOBAL,PWRCCSLUXXX01,31.536
GLOBAL,PWRCCGNLDXX00,31.536
GLOBAL,PWROCGNLDXX00,31.536
GLOBAL,PWRHYDNLDXX01,31.536
GLOBAL,PWROILNLDXX01,31.536
GLOBAL,PWRSPVNLDXX01,31.536
GLOBAL,PWROTHNLDXX01,31.536
GLOBAL,PWRCSPNLDXX01,31.536
GLOBAL,PWRBIONLDXX01,31.536
GLOBAL,PWRCOANLDXX01,31.536
GLOBAL,PWRURNNLDXX01,31.536
GLOBAL,PWRWONNLDXX01,31.536
GLOBAL,PWRWASNLDXX01,31.536
GLOBAL,PWRWOFNLDXX01,31.536
GLOBAL,PWRWAVNLDXX01,31.536
GLOBAL,PWRPETNLDXX01,31.536
GLOBAL,PWRGEONLDXX01,31.536
GLOBAL,PWRCOGNLDXX01,31.536
GLOBAL,PWRCCSNLDXX01,31.536
GLOBAL,PWRCCGPRTXX00,31.536
GLOBAL,PWROCGPRTXX00,31.536
GLOBAL,PWRHYDPRTXX01,31.536
GLOBAL,PWROILPRTXX01,31.536
GLOBAL,PWRSPVPRTXX01,31.536
GLOBAL,PWROTHPRTXX01,31.536
GLOBAL,PWRCSPPRTXX01,31.536
GLOBAL,PWRBIOPRTXX01,31.536
GLOBAL,PWRCOAPRTXX01,31.536
GLOBAL,PWRURNPRTXX01,31.536
GLOBAL,PWRWONPRTXX01,31.536
GLOBAL,PWRWASPRTXX01,31.536
GLOBAL,PWRWOFPRTXX01,31.536
GLOBAL,PWRWAVPRTXX01,31.536
GLOBAL,PWRPETPRTXX01,31.536
GLOBAL,PWRGEOPRTXX01,31.536
GLOBAL,PWRCOGPRTXX01,31.536
GLOBAL,PWRCCSPRTXX01,31.536
GLOBAL,PWRCCGAUTXX01,31.536
GLOBAL,PWROCGAUTXX01,31.536
GLOBAL,PWRCCGBELXX01,31.536
GLOBAL,PWROCGBELXX01,31.536
GLOBAL,PWRCCGCHEXX01,31.536
GLOBAL,PWROCGCHEXX01,31.536
GLOBAL,PWRCCGDEUXX01,31.536
GLOBAL,PWROCGDEUXX01,31.536
GLOBAL,PWRCCGESPXX01,31.536
GLOBAL,PWROCGESPXX01,31.536
GLOBAL,PWRCCGFRAXX01,31.536
GLOBAL,PWROCGFRAXX01,31.536
GLOBAL,PWRCCGITAXX01,31.536
GLOBAL,PWROCGITAXX01,31.536
GLOBAL,PWRCCGLUXXX01,31.536
GLOBAL,PWROCGLUXXX01,31.536
GLOBAL,PWRCCGNLDXX01,31.536
GLOBAL,PWROCGNLDXX01,31.536
GLOBAL,PWRCCGPRTXX01,31.536
GLOBAL,PWROCGPRTXX01,31.536
GLOBAL,PWRBCKAUTXX,31.536
GLOBAL,PWRBCKBELXX,31.536
GLOBAL,PWRBCKCHEXX,31.536
GLOBAL,PWRBCKDEUXX,31.536
GLOBAL,PWRBCKESPXX,31.536
GLOBAL,PWRBCKFRAXX,31.536
GLOBAL,PWRBCKITAXX,31.536
GLOBAL,PWRBCKLUXXX,31.536
GLOBAL,PWRBCKNLDXX,31.536
GLOBAL,PWRBCKPRTXX,31.536
GLOBAL,PWRTRNITAXX,31.536
GLOBAL,TRNCHEXXITAXX,31.536
GLOBAL,TRNBELXXDEUXX,31.536
GLOBAL,PWRTRNNLDXX,31.536
GLOBAL,TRNESPXXFRAXX,31.536
GLOBAL,TRNFRAXXITAXX,31.536
GLOBAL,PWRTRNAUTXX,31.536
GLOBAL,PWRTRNFRAXX,31.536
GLOBAL,TRNDEUXXFRAXX,31.536
GLOBAL,TRNFRAXXLUXXX,31.536
GLOBAL,TRNBELXXNLDXX,31.536
GLOBAL,TRNAUTXXITAXX,31.536
GLOBAL,TRNCHEXXFRAXX,31.536
GLOBAL,PWRTRNDEUXX,31.536
GLOBAL,TRNDEUXXNLDXX,31.536
GLOBAL,TRNAUTXXDEUXX,31.536
GLOBAL,PWRTRNESPXX,31.536
GLOBAL,PWRTRNBELXX,31.536
GLOBAL,TRNBELXXFRAXX,31.536
GLOBAL,TRNESPXXPRTXX,31.536
GLOBAL,PWRTRNCHEXX,31.536
GLOBAL,PWRTRNPRTXX,31.536
GLOBAL,TRNBELXXLUXXX,31.536
GLOBAL,PWRTRNLUXXX,31.536
GLOBAL,TRNCHEXXDEUXX,31.536
GLOBAL,TRNAUTXXCHEXX,31.536
GLOBAL,TRNDEUXXLUXXX,31.536
