VALUE
BIOAUTXX
BIOBELXX
BIOCHEXX
BIODEUXX
BIOESPXX
BIOFRAXX
BIOITAXX
BIOLUXXX
BIONLDXX
BIOPRTXX
COAAUT
COABEL
COACHE
COADEU
COAESP
COAFRA
COAINT
COAITA
COALUX
COANLD
COAPRT
COGAUT
COGBEL
COGCHE
COGDEU
COGESP
COGFRA
COGINT
COGITA
COGLUX
COGNLD
COGPRT
CSPAUTXX
CSPBELXX
CSPCHEXX
CSPDEUXX
CSPESPXX
CSPFRAXX
CSPITAXX
CSPLUXXX
CSPNLDXX
CSPPRTXX
ELCAUTXX01
ELCAUTXX02
ELCBELXX01
ELCBELXX02
ELCCHEXX01
ELCCHEXX02
ELCDEUXX01
ELCDEUXX02
ELCESPXX01
ELCESPXX02
ELCFRAXX01
ELCFRAXX02
ELCITAXX01
ELCITAXX02
ELCLUXXX01
ELCLUXXX02
ELCNLDXX01
ELCNLDXX02
ELCPRTXX01
ELCPRTXX02
GASAUT
GASBEL
GASCHE
GASDEU
GASESP
GASFRA
GASINT
GASITA
GASLUX
GASNLD
GASPRT
GEOAUTXX
GEOBELXX
GEOCHEXX
GEODEUXX
GEOESPXX
GEOFRAXX
GEOITAXX
GEOLUXXX
GEONLDXX
GEOPRTXX
HYDAUTXX
HYDBELXX
HYDCHEXX
HYDDEUXX
HYDESPXX
HYDFRAXX
HYDITAXX
HYDLUXXX
HYDNLDXX
HYDPRTXX
OILAUT
OILBEL
OILCHE
OILDEU
OILESP
OILFRA
OILINT
OILITA
OILLUX
OILNLD
OILPRT
OTHAUT
OTHBEL
OTHCHE
OTHDEU
OTHESP
OTHFRA
OTHINT
OTHITA
OTHLUX
OTHNLD
OTHPRT
PETAUT
PETBEL
PETCHE
PETDEU
PETESP
PETFRA
PETINT
PETITA
PETLUX
PETNLD
PETPRT
SPVAUTXX
SPVBELXX
SPVCHEXX
SPVDEUXX
SPVESPXX
SPVFRAXX
SPVITAXX
SPVLUXXX
SPVNLDXX
SPVPRTXX
URNAUT
URNBEL
URNCHE
URNDEU
URNESP
URNFRA
URNINT
URNITA
URNLUX
URNNLD
URNPRT
WASAUTXX
WASBELXX
WASCHEXX
WASDEUXX
WASESPXX
WASFRAXX
WASITAXX
WASLUXXX
WASNLDXX
WASPRTXX
WAVAUTXX
WAVBELXX
WAVCHEXX
WAVDEUXX
WAVESPXX
WAVFRAXX
WAVITAXX
WAVLUXXX
WAVNLDXX
WAVPRTXX
WOFAUTXX
WOFBELXX
WOFCHEXX
WOFDEUXX
WOFESPXX
WOFFRAXX
WOFITAXX
WOFLUXXX
WOFNLDXX
WOFPRTXX
WONAUTXX
WONBELXX
WONCHEXX
WONDEUXX
WONESPXX
WONFRAXX
WONITAXX
WONLUXXX
WONNLDXX
WONPRTXX
